Calamidad,Lavida Palmo,5,7,23,33,34,44
Primitiva,Tubosu Erte,1,9,11,15,47,49
Auxilio,Canto Bingo,12,19,23,33,45,48
Fortuna,Cayoen Desgracia,1,2,3,4,5,6
Maria Buena,Ventura Consagrada,16,20,32,33,43,46
Defectuosa,Tara Primark,7,17,27,37,47,49
Alba, �oguarro Lavarte,6,10,18,23,37,41
Alex, Plosivo Mojado,2,22,43,45,46,49
Angel, Conde Nao,5,15,34,37,43,44
Elsa, Vado Voy,6,14,22,30,39,41
Ram�n, Taba Lamoto,1,14,18,22,32,45
Teresa, Cala Basura,13,20,23,30,42,46
Zoila, Puerca de Espa�a,9,16,24,36,34,41
